id	content	date	type	suicide
3460966686027551	安全感不是一个人会让我衣食无休 给我很多很多物质 给我很多很多所谓的承诺，而是一起经历过一件件大事 还有一件件微不足道却一直感动着的小事。然后，发现自己再无法离开这个人。其实从来都不需要你给我很多 给我最好，而是你争执不移的专一，安全感只不过是点滴生活中积累回来的无价品。	2012.06.26 00:37	1	1
3495848921115810	中秋节家里都去旅游。我却哪里都不想去，留家里守门。突然觉得好无助。连续好几天都睡不好。爱我的不爱我的，太辛苦了。一直折磨着我，让我身心受困。一直努力着安慰自己，但是还是难过。没有那么大方，我也做不到那么大方。不可能笑笑当什么事情都没有发生过。请问你真的是白痴吗。	2012.09.30 06:46	1	1
3492408312357800	头好晕。很久没有如此差过。	2012.09.20 18:54	1	1
3480530257696220	大半夜发什么神经病，听的歌有种想桦桦落泪的冲动。[泪][泪]我想我一定疯了。	2012.08.19 00:15	1	1
3479304492929140	今天又要含着泪送走,姐姐会永远想你的。还有我们的午休双人床。	2012.08.15 15:04	1	1
3463088253171120	如果可以，我想选择失忆。就不会坐立不安，幻想着种种画面。如果可以。就安然睡一觉，什么都将忘记，我们不曾相识。	2012.07.01 21:07	1	1
3654788871299240	这次我没有说再见，是因为真的不会再见了。歌词里说人总需要勇敢生存。总会有不勇敢的人，不敢面对。这段说走就走的路程，到终点站了。好想再多写一些。可是一切都已经来不及了。满天神佛，你们看到了吧！！！	2013.12.12 20:57	1	1
3654669983348770	被拉来吃了一顿让人不舒服的饭。我知道是为我好。但我的事请先和我商量。别用关心我的名义绑架我的选择。我只是想安安静静活一遭。没人吵，没人闹，就好。。。	2013.12.12 13:04	1	1
3654633891225430	我不知道谁他妈发明的这些药，完全看不到任何效果，每天就是喝水喝水喝一桶水水，呕完呕完呕干净，喉咙都废了劳资混毛线。。。每天开个幻灯机要别人抄是吧。。。草。。。	2013.12.12 10:41	1	1
3654447660419570	不哭。。。这也是命。。。 。 [泪]	2013.12.11 22:21	0	1
3654422435569310	终于到家。。。什么胃口都没有。。。洗洗睡算了。。。什么狗屁慢性泪囊炎。。。还什么最坏可能要换眼角膜。。。豁老子哦。。。瞎了更好。。。眼不见，心安宁。。。贱命一条。。。随你们折腾。。。哈哈哈哈哈哈哈哈哈哈哈哈	2013.12.11 20:41	1	1
3654415729057060	看着姐姐的车渐渐远去的尾灯,一阵失落感油然而生,心里空荡荡的,总感觉少了点什么。。。回头摸摸口袋,我靠!!!一毛钱都没有了。。。迈开大步走回家好了。。活该。。	2013.12.11 20:14	1	1
3654405541190800	刚刚做完检查，罗医生就问：你想死么？我心里就纳闷了，难不成她还是一心理医生？可是我也没和她交流什么啊。。。没等我反应过来，又接着发话了，眼睛成这样了还敢开车出门，你自己想死就算了，别害了过路人，叫你家姐来接吧，都快是瞎子了。。。回去老实吃药，按时复诊。。	2013.12.11 19:34	1	1
3654375056373490	在干预小组看到有几个在议论吃安眠药自杀的。科普过后仍是觉得不过瘾。发到微博上来科普一次。想吃安眠药以为可以安安静静去死的人看清楚了。当达到一定剂量后。你会全身麻痹，胃抽筋，大小便失禁。而这一切发生的时候，你的意识完全清醒。呵呵。去体会吧。死得很难看。还想么。	2013.12.11 17:32	1	1
3652993318489230	呵呵。你想多了。。。几乎所有人都只会看不起我。你却太看得起我。我承受不住这样的极端。简单点。我就是想吃口热饭有个床铺睡觉而已。其他的都是多余的。	2013.12.07 22:02	1	1
3652645221225820	嘘。。。不要靠的太近。。。我有精神病。。。[呵呵]	2013.12.06 22:59	1	1
3652643807349010	医生教我不要过分压抑自己的情绪，那好。我刚刚情绪很down，于是放了一浴缸的水。然后从鱼缸里面捞出一条金鱼放入浴缸，让它享受一个更宽广的世界。听说金鱼的记忆只有7秒。那么7秒便是它的一生。我让它畅游了八辈子。然后用水果刀终结了它的快乐。你说，这是所谓“曾经拥有，快乐过了，便足够”么？	2013.12.06 22:53	1	1
3652605013696180	幻想总把破灭宽恕，而破灭却从不把幻想放过。我一直在幻想着，而幻想总在破灭着。我选择放过自己，从今往后我不再相信。感谢你，替我做的决定。	2013.12.06 20:19	1	1
3651759555825380	谢谢,这个世界有太多的不美好能让人绝望,其实大家都不明白,绝望的人们只需要一个简单的拥抱。重来好不好只是一条单行道。	2013.12.04 00:19	0	1
3651074281886710	河口，再见，再也不见。	2013.12.02 14:56	1	1
3650489004819010	人生是个苍凉的手势，短的是生命，长的是磨难。我是个赌徒，输不起，却已经一败涂地。－－捌 http://t.cn/hBI4uW 	2013.12.01 00:11	1	1
3650485116895860	生命是趟单程旅行，如今站在此生此处往回看，只觉属于我们自己的那班列车，已经轰隆远去，徒留一片不真的模糊的记忆碎片，怎样也无法拼凑成原来的样子。而那也只不过是不久前的事情而已，却已觉天寒地冻路远马亡。 http://t.cn/au2FHu	2013.11.30 23:55	1	1
3650478523382940	快些仰起你苍白的脸，青春不长，没时间悲伤。 http://t.cn/aouHYm 	2013.11.30 23:29	1	1
3650449145772440	爸爸，妈妈，对不起。	2013.11.30 21:32	1	1
3638937991738740	今天连黑熊都不待见我了，我一靠近它就对我低吼，看来它也看到我心中有魔鬼。。。	2013.10.30 03:11	1	1
3638594025288310	在干预小组看到这么一笑话。说是有个人27岁了，总是说自己老了，就是觉得自己老了，其他人就告诉他，如果你现在马上去死，立马会有人说，真可惜，年纪轻轻就没了。。。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	2013.10.29 04:24	1	1
3638277275569860	一直以来我有个梦想，去西藏完成某一件事情，现在，我决定去完成它。不过，在我去西藏之前。我，一，定，会，杀，了，他。。。嗯？又天亮了。	2013.10.28 07:26	1	1
3637450268655450	要么你杀了他，要么你看不见他，要么他杀了你。 。 致本微博抑郁而走掉的人	2013.10.26 00:39	0	1
3592611543229470	活着而已，也就这么点意思。	2013.06.24 07:06	1	1
3466552638740280	破鼓一只，可以踩，可以捶。顺带多句嘴，物极必反，别最终崴了脚，折了手才是。	2012.07.11 10:33	1	1
3440572839012710	二姐进手术室两个小时了。可能因为在北京住太久医院。坐在手术室外总感觉到莫名其妙的恶心和恐惧。妈妈索性让我先行离开来办自己的事，希望姐姐手术顺利。	2012.04.30 17:59	1	1
3439163821399870	生活可不可以打碎，重新来。。。	2012.04.26 20:40	1	1
3435939374517180	回魂酒什么都特么浮云了。我发现一绝世良方，刚刚我突发奇想用了小几两白酒煮了一包方便面吃，人一下子就清白回魂了。明儿我给你们一个一个回魂。	2012.04.17 23:07	1	1
3429961186893700	一路风尘，疲惫。临到头却是外人问声安好，道声珍重。	2012.04.01 11:12	1	1
3429757717264180	身心疲惫，像个流浪汉一样坐在候车室。晚点半个多小时了。每个路过的人都是一脸麻木，茫然。。。	2012.03.31 21:43	1	1
3427970713088480	好多深夜不眠的人。唔，那什么，谁有烟么？没有。那算了。睡吧。晚安，亲爱的。	2012.03.26 23:22	1	1
3395104020802660	不知不觉又快天亮，不等了，晚安。	2011.12.27 06:42	1	1
3392734897790930	老太爷带着烨烨宝从公园回来，问我为什么不开灯，突然才发现外头已经开始暗下来了，我却毫无察觉，从公司回来就一直这么盯着屏幕刷新微博。老觉着自己忘记一些什么事情了，但就是怎么都想不出个头绪来，想着想着，就这么昏天暗地了。真厌恶这种措手不及的感觉。	2011.12.20 17:48	1	1
3392490688447480	五年了。五年前开始，头痛，失眠，健忘，受伤，生病，我做了一个又一个现在看来都是错误的决定，这些决定一次次改变我的生活轨迹，让我不得不一次次落荒而逃，疲于奔命。五年过后，我仅剩下这么一个念头，好好为自己活一次，就一次。	2011.12.20 01:37	1	1
3378938404056390	这辈子最艰难的旅程，长大后第一次觉得自己这样无力。	2011.11.12 16:05	1	1
3377823621170270	非生即死么？	2011.11.09 14:16	1	1
3375083872576380	终于睡了一次好觉，六片安定让我睡满八个小时。有点头疼兼胃疼估计饿了，热碗粥喝喝。大家早安。	2011.11.02 00:49	1	1
3374364808885040	我觉得明儿自己该去找点药吃了，再这么失眠下去我真的要疯。	2011.10.31 01:12	1	1
3373665950357580	再这样下去我要疯。。。	2011.10.29 02:55	1	1
3370521507306110	情绪一直这么down下去，我会完蛋的。这周末要找个地方去走走了。	2011.10.20 10:40	1	1
3366830237069440	一夜未眠。茫然至极。	2011.10.10 06:12	1	1
3361663840164280	如果从下一刻开始我就这么不见了，多少人会想起我呢。呵呵。	2011.09.26 00:02	1	1
3361128479434660	不知道怎么坚持下去了。	2011.09.24 00:35	1	1
3356464484406200	每天清醒的时间没超过三个小时，每次都只有某某帮我带个如轩的粥，护士小姐换吊瓶的时候醒那么一会，回成都后一直在这里昏昏沉沉做了很多个梦，梦到很多老友，可每次醒来又只有空荡荡的病房和消毒水的味道。 这里再说声死胖子生日快乐。昨晚闹钟没闹醒，晚了那么一点点。都要加油啊！	2011.09.11 15:42	1	1
